text,author,image_path,likes,replies,views,url
"Stijn Noorman
@stijnnoorman
·
2h
Stop writing for the algorithm.

Start writing for real people.
75
7
138
3.5K",stijnnoorman,,138,75,0,https://twitter.com/stijnnoorman/status/1949711569723527326
"Build in Public
Soham
@soham_nayak04
·
3h
Solve a problem you face first, if others have the same issue, offer them your solution for a price.
21
2
37
1.2K",,,37,21,0,https://twitter.com/soham_nayak04/status/1949700889624576058
"Build in Public
$Anasify
@theanasify
·
22h
will AI wave go away in future?
98
5
96
7.7K",,,96,98,0,https://twitter.com/theofficialriti/status/1949528706537660425
"Build in Public
Sidessh
@SidesshMore
·
2h
Do you prefer solo building or a co-founder?
78
2
67
5.3K",,,67,78,0,https://twitter.com/SidesshMore/status/1949726118874915039,2025-07-28T14:40:58.679251
"Build in Public
Cooper
@coopmacg
·
13h
how do you validate an idea without a product?
95
4
93
7K",,,93,95,0,https://twitter.com/coopmacg/status/1949559007489781967,2025-07-28T14:42:22.987537
"Brian
@BreakTheKnown
·
1h
Resilience isn’t about being unbreakable.

It’s about rebuilding every time life tries to tear you down.
25
1
33
229",BreakTheKnown,,33,25,0,https://twitter.com/BreakTheKnown/status/1949743033693405496,2025-07-28T14:43:44.538392
"Can Vardar
@icanvardar
·
15h
pronounce SQL
57
3
37
2.4K",icanvardar,,37,57,0,https://twitter.com/icanvardar/status/1949529877524463712,2025-07-28T14:48:03.091893
"Build in Public
Ky-Nam
@withkynam
·
7h
it’s Monday. i used to get scared bc i have to go to the office

but now that i’m indie building, i’m super glad because it’s a new week for me build for my audience

thanks God it’s Monday!
10
28
543",,,28,10,0,https://twitter.com/withkynam/status/1949650317953364282,2025-07-28T14:52:07.824661
"Raj Shamani
@rajshamani
·
2h
Winners aren’t more talented. They’re just better at doing boring things repeatedly without quitting.
74
88
769
14K",rajshamani,,769,74,0,https://twitter.com/rajshamani/status/1949715813952582075,2025-07-28T14:56:19.296989
"Build in Public
Dan.
@TeeDevh
·
19h
I can’t build in public.
I’m scared someone will see my idea and build it faster than me.
377
52
919
128K",,,919,377,0,https://twitter.com/TeeDevh/status/1949470011174822125,2025-07-28T15:02:16.549122
"Build in Public
Tushar (leadlee.co)
@TusharKapil003
·
4h
Any tips for marketing on X?
31
2
40
2.4K",,,40,31,0,https://twitter.com/TusharKapil003/status/1949692806790054369,2025-07-28T15:04:48.587809
"Build in Public
rusa
@rusabuilds
·
2h
you know that feeling when nothing's clicking? 

what do you do to reset?
18
2
21
718",,,21,18,0,https://twitter.com/rusabuilds/status/1949729373663408153,2025-07-28T15:05:31.590193
"Build in Public
Golem | UI Designer
@DesignsByGolem
·
Jul 26
If AI stopped today, could you still ship?
142
6
145
15K",,,145,142,0,https://twitter.com/DesignsByGolem/status/1949057361194156515,2025-07-28T15:08:16.482267
"Build in Public
Hwan ChinYang
@HwanChinYang
·
17h
This is all we need to build a saas ? right ?
62
12
120
7.8K",,,120,62,0,https://twitter.com/HwanChinYang/status/1949504018583371931,2025-07-28T15:10:55.558447
"Build in Public
Golem | UI Designer
@DesignsByGolem
·
Jul 27
Do you think having a strong network makes a big difference?
134
11
174
15K",,,174,134,0,https://twitter.com/DesignsByGolem/status/1949345614463893969,2025-07-28T15:12:08.830238
"Build in Public
Naeem
@anaeem152
·
Jul 27
Who else is working on Sunday?
165
20
651
35K",,,651,165,0,https://twitter.com/anaeem152/status/1949395343386255780,2025-07-28T15:14:43.240459
"Build in Public
Dmytro Katyukha
@D1mKat
·
Jul 27
How do you know when your idea is actually worth building?
191
8
199
25K",,,199,191,0,https://twitter.com/D1mKat/status/1949406912941797558,2025-07-28T15:20:39.977741
"Zephyra Leigh
@ZephyraLeigh
·
2h
Your comfort zone is a beautiful prison.
32
35
237",ZephyraLeigh,,35,32,0,https://twitter.com/ZephyraLeigh/status/1949730538094232044,2025-07-28T15:23:34.527576
"Daniel Lockyer
@DanielLockyer
·
19h
confession: i have never done any leetcode exercises
50
19
220
28K",DanielLockyer,,220,50,0,https://twitter.com/DanielLockyer/status/1949477818590757183,2025-07-28T15:31:30.877089
"Daniel Lockyer
@DanielLockyer
·
19h
confession: i have never done any leetcode exercises
50
19
222
28K",DanielLockyer,,855,73,0,https://twitter.com/Aptos/status/1947446618154021137/analytics,2025-07-28T15:33:50.522515
"void.
@2xBuild
·
6h
Every tweet i post is a banger, it just don’t reach the right audience.
24
8
127
2.7K",2xBuild,,127,24,0,https://twitter.com/2xBuild/status/1949668781682201050,2025-07-28T15:35:16.080768
"hayden
@haydendevs
·
11h
nearly 15k posts and not a single bad one, incredible
26
95
2.4K",haydendevs,,95,26,0,https://twitter.com/haydendevs/status/1949598096385527892,2025-07-28T15:37:33.338694
